,Creation Time,Latency,Arrival Time,Source,Destination,Block ID,QueueTime,TxTime,PropTime,Block Index
599,0.05960255338607994,0.28074643080131434,0.3403489841873943,"Malaga, Spain",Mauritius,0_10_121,0.0017676047166711173,0.0037692022701309807,0.2752096238145122,121
410,0.06133306685564207,0.24546395957552916,0.30679702643117124,"Malaga, Spain",Mauritius,0_10_122,0.0009192848269459347,0.003361455314170624,0.24118321943441287,122
342,0.062252351682588004,0.2300472985872917,0.2922996502698797,"Malaga, Spain",Mauritius,0_10_123,2.3544695916720426e-05,0.0030540547179117705,0.22696969917346319,123
697,0.06226027784284349,0.29475988121486335,0.35702015905770684,"Malaga, Spain",Mauritius,0_10_124,0.00010151861083709801,0.003947207627662115,0.290711154976364,124
19,0.06236179645368059,0.0888161271540299,0.15117792360771048,"Malaga, Spain",Mauritius,0_10_125,9.801452520811355e-05,0.0011991252386942953,0.08751898739012756,125
8,0.062435338199229105,0.06320128220483917,0.12563662040406828,"Malaga, Spain",Mauritius,0_10_126,0.0008684387488290743,0.0008437637799471303,0.06148907967606297,126
141,0.06330377694805818,0.17387854264717054,0.23718231959522873,"Malaga, Spain",Mauritius,0_10_127,0.00048266460402693334,0.002389174693367389,0.17100670334977638,127
1224,0.06376066542437055,0.3873245414264045,0.451085206850775,"Malaga, Spain",Mauritius,0_10_128,0.001265271544370783,0.0051986943377396325,0.380860575544294,128
211,0.0648661220137516,0.1942961552144172,0.2591622772281688,"Malaga, Spain",Mauritius,0_10_129,0.0012350579142565848,0.0025902876342389293,0.19047080966592184,129
816,0.06610117992800818,0.30896559344065483,0.375066773368663,"Malaga, Spain",Mauritius,0_10_130,0.0009879805310609446,0.004255826799825176,0.3037217861097687,130
107,0.06694051064327916,0.15320498843255956,0.22014549907583872,"Malaga, Spain",Mauritius,0_10_131,0.00047876173246037823,0.002070471789138998,0.1506557549109603,131
472,0.06741927237573954,0.25217543204464293,0.31959470442038246,"Malaga, Spain",Mauritius,0_10_132,0.000498958112770162,0.003482916960550653,0.24819355697132206,132
323,0.06771708241321778,0.21945860719712396,0.28717568961034173,"Malaga, Spain",Mauritius,0_10_133,0.00029387311593961907,0.002943336415727386,0.21622139766545714,133
680,0.0679154308360238,0.2866992685461787,0.3546146993822025,"Malaga, Spain",Mauritius,0_10_134,0.0014160506688865038,0.0038835278624695505,0.28139969001482285,134
6,0.0690854733445852,0.04735313397038102,0.11643860731496622,"Malaga, Spain",Mauritius,0_10_135,0.00046632313035725736,0.0006433215849751263,0.046243489255048634,135
420,0.06919198373020523,0.23882802000370432,0.30802000373390953,"Malaga, Spain",Mauritius,0_10_136,0.0008143642837383641,0.003226521733860728,0.23478713398610518,136
1058,0.07000426442034977,0.3472324896617945,0.4172367540821442,"Malaga, Spain",Mauritius,0_10_137,0.0005952793824461761,0.004783152288914107,0.3418540579904342,137
122,0.07059954380279594,0.1573369475701029,0.22793649137289884,"Malaga, Spain",Mauritius,0_10_138,2.196291893293012e-05,0.0020960134764104175,0.15521897117475972,138
731,0.07059975441363568,0.2918437831135477,0.3624435375271834,"Malaga, Spain",Mauritius,0_10_139,0.0020856658610005213,0.003978774444149388,0.285779342808398,139
